,0,1,2,3,4,5
204,R Premadasa Stadium,Colombo,Sri Lanka,9 Tests,140 ODIs,44 T20s
205,Rajiv Gandhi International Cricket Stadium,Dehra Dun,India,1 Test,5 ODIs,3 T20s
206,Rajiv Gandhi International Stadium,Hyderabad,India,5 Tests,6 ODIs,5 T20s
207,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,,55 ODIs,
208,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,13 Tests,24 ODIs,3 T20s
209,Reforma Athletic Club,Naucalpan,Mexico,,,6 T20s
210,Reliance Stadium,Vadodara,India,,10 ODIs,
211,Riverside Ground,Chester-Le-Street,England,6 Tests,21 ODIs,3 T20s
212,Riverway Stadium,Townsville,Australia,,5 ODIs,3 T20s
213,Royal Brussels Cricket Club Ground,Waterloo,Belgium,,,19 T20s
214,Ruaraka Sports Club Ground,Nairobi,Kenya,,5 ODIs,
215,Sabina Park,"Kingston, Jamaica",West Indies,54 Tests,40 ODIs,6 T20s
216,Saint Andrews International High School,Blantyre,Malawi,,,1 T20
217,Sano International Cricket Ground,"Sano, Kanto",Japan,,,9 T20s
218,Sardar Vallabhai Patel Stadium,Ahmedabad,India,,1 ODI,
219,Saurashtra Cricket Association Stadium,"Khandheri, Rajkot",India,2 Tests,3 ODIs,4 T20s
220,Sawai Mansingh Stadium,Jaipur,India,1 Test,19 ODIs,1 T20
221,Saxton Oval,Nelson,New Zealand,,11 ODIs,2 T20s
222,Scott Page Field,Vinor,Czech Republic,,,12 T20s
223,Sector 16 Stadium,Chandigarh,India,1 Test,5 ODIs,
224,Seddon Park,Hamilton,New Zealand,27 Tests,38 ODIs,12 T20s
225,Seebarn Cricket Centre,Lower Austria,Austria,,,3 T20s
226,Senwes Park,Potchefstroom,South Africa,2 Tests,19 ODIs,2 T20s
227,Shaheed Chandu Stadium,Bogra,Bangladesh,1 Test,5 ODIs,
228,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,9 Tests,244 ODIs,29 T20s
229,Sheikh Abu Naser Stadium,Khulna,Bangladesh,3 Tests,4 ODIs,5 T20s
230,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,15 Tests,50 ODIs,63 T20s
231,Sheikhupura Stadium,Sheikhupura,Pakistan,2 Tests,2 ODIs,
232,Shere Bangla National Stadium,"Mirpur, Dhaka",Bangladesh,24 Tests,115 ODIs,59 T20s
233,Sher-I-Kashmir Stadium,Srinagar,India,,2 ODIs,
234,Simba Union Ground,Nairobi,Kenya,,1 ODI,
235,Sinhalese Sports Club Ground,Colombo,Sri Lanka,43 Tests,61 ODIs,2 T20s
236,Sir Vivian Richards Stadium,"North Sound, Antigua",West Indies,12 Tests,20 ODIs,13 T20s
237,Sky Stadium,Wellington,New Zealand,,31 ODIs,15 T20s
238,Smith Road Oval,George Town,Cayman Islands,,,3 T20s
239,Sophia Gardens,Cardiff,Wales,3 Tests,29 ODIs,9 T20s
240,Sportpark Thurlede,Schiedam,Netherlands,,2 ODIs,
241,Sportpark Westvliet,Voorburg,Netherlands,,6 ODIs,7 T20s
242,Sports Stadium,Sargodha,Pakistan,,1 ODI,
243,Sportspark Het Schootsveld,Deventer,Netherlands,,2 ODIs,2 T20s
244,Sportspark Maarschalkerweerd,Utrecht,Netherlands,,3 ODIs,2 T20s
